,index_type,M,efConstruction,ef,recall,query_per_sec,loss
0,HNSW,4,8,100,61.1,10953.759369042336,3379046.2406309578
1,HNSW,4,8,200,73.43,18579.419712070878,2138420.5802879287
2,HNSW,4,8,300,78.42,18031.486178582178,1639968.5138214177
3,HNSW,4,8,400,84.64,16695.740784969348,1019304.2592150307
4,HNSW,4,8,500,88.31,15573.681865438884,653426.3181345608
5,HNSW,4,8,600,89.66,15233.180794653885,518766.81920534646
6,HNSW,4,8,700,91.36,14225.69529236196,349774.3047076381
7,HNSW,4,8,800,92.75,13281.099395205978,211718.90060479403
8,HNSW,4,8,900,93.21,12979.835365476263,166020.16463452435
9,HNSW,4,8,1000,93.44,12291.000732600733,143708.9992673995
10,HNSW,4,8,1100,93.69,11343.314582431847,119656.68541756838
11,HNSW,4,8,1200,93.85,11581.356306604815,103418.64369339574
12,HNSW,4,8,1300,95.9,11310.27936576421,-11309.37936576421
13,HNSW,4,8,1400,96.11,10903.925544636822,-10902.815544636822
14,HNSW,4,8,1500,96.2,10717.252657399837,-10716.052657399836
15,HNSW,4,8,1600,97.22,10435.928441690923,-10433.708441690924
16,HNSW,4,8,1700,97.31,10062.38514502315,-10060.075145023151
17,HNSW,4,8,1800,97.37,9831.705773423031,-9829.33577342303
18,HNSW,4,8,1900,97.38,9692.882233314846,-9690.502233314846
19,HNSW,4,8,2000,97.44,7000.0734336927135,-6997.633433692714
20,HNSW,4,8,2100,97.5,9063.670152995071,-9061.170152995071
21,HNSW,4,8,2200,97.52,8953.578823780554,-8951.058823780553
22,HNSW,4,8,2300,97.54,8890.758012548753,-8888.218012548752
23,HNSW,4,8,2400,97.55,8547.94163202087,-8545.39163202087
24,HNSW,4,8,2500,97.57,8335.924954288894,-8333.354954288894
25,HNSW,4,8,2600,97.59,8306.045903717053,-8303.455903717053
26,HNSW,4,8,2700,97.6,8080.265084380057,-8077.665084380056
27,HNSW,4,8,2800,97.6,8008.523475836786,-8005.923475836786
28,HNSW,4,8,2900,97.61,6950.541055596984,-6947.931055596984
29,HNSW,4,8,3000,97.61,6247.566842928428,-6244.956842928428
30,HNSW,4,8,3100,97.61,5793.957812435247,-5791.347812435248
31,HNSW,4,8,3200,97.61,7678.078605817636,-7675.468605817637
32,HNSW,4,8,3300,97.61,7571.355849594744,-7568.745849594744
33,HNSW,4,8,3400,97.61,7418.688646373172,-7416.078646373172
34,HNSW,4,8,3500,97.61,7284.686593605085,-7282.076593605086
35,HNSW,4,8,3600,97.61,5086.532701099941,-5083.922701099941
36,HNSW,4,8,3700,97.61,5278.576372720522,-5275.9663727205225
37,HNSW,4,8,3800,97.61,5561.188528393948,-5558.578528393949
38,HNSW,4,8,3900,97.61,5645.396791213524,-5642.786791213524
39,HNSW,4,8,4000,97.61,6095.486121203314,-6092.876121203314
40,HNSW,4,8,4100,97.61,6370.643093654121,-6368.033093654121
41,HNSW,4,8,4200,97.61,5874.046271917539,-5871.43627191754
42,HNSW,4,8,4300,97.63,4855.586297912735,-4852.956297912735
43,HNSW,4,8,4400,97.64,4420.22152198885,-4417.58152198885
