index_type,m,nlist,nprobe,recall,query_per_sec,loss
"IVF_PQ","1","1","1","38.39","3306.0898901202845","5664306.089890121"
"IVF_PQ","1","1","1","38.39","12956.980012974576","5673956.980012975"
"IVF_PQ","1","1","100","38.39","18517.898454746137","5679517.898454746"
"IVF_PQ","2","1","1","48.79","16215.510709038892","4637215.510709039"
"IVF_PQ","2","1","1","48.79","15556.930380920589","4636556.930380921"
"IVF_PQ","2","1","100","48.79","13837.563920688859","4634837.563920689"
"IVF_PQ","4","1","1","58.09","16440.51426779555","3707440.5142677953"
"IVF_PQ","4","1","1","58.09","16109.632816100784","3707109.6328161005"
"IVF_PQ","4","1","100","58.09","16896.165001611345","3707896.1650016108"
"IVF_PQ","8","1","1","70.5","14444.687812101802","2464444.687812102"
"IVF_PQ","8","1","1","70.5","14591.928750347899","2464591.928750348"
"IVF_PQ","8","1","100","70.5","15548.856348470807","2465548.856348471"
"IVF_PQ","1","101","1","31.85","3568.011024814339","6318568.011024814"
"IVF_PQ","1","101","10","46.65","9735.177792219849","4844735.177792219"
"IVF_PQ","1","101","100","46.8","15031.731355051428","4835031.7313550515"
"IVF_PQ","2","101","1","33.24","16915.926598104455","6192915.926598105"
"IVF_PQ","2","101","10","52.8","17908.30451304385","4237908.304513044"
"IVF_PQ","2","101","100","52.94","15906.796116504855","4221906.796116505"
"IVF_PQ","4","101","1","33.81","12338.002647448155","6131338.002647448"
"IVF_PQ","4","101","10","58.89","15112.975173855079","3626112.975173855"
"IVF_PQ","4","101","100","59.34","13855.848832215652","3579855.848832215"
"IVF_PQ","8","101","1","34.27","15585.25564803805","6088585.255648038"
"IVF_PQ","8","101","10","68.22","17783.7778248887","2695783.7778248885"
"IVF_PQ","8","101","100","69.56","14367.499057993355","2558367.4990579933"
"IVF_PQ","1","201","1","26.72","3324.301146856251","6831324.3011468565"
"IVF_PQ","1","201","20","47.96","3588.5864868795934","4707588.58648688"
"IVF_PQ","1","201","100","47.96","7105.01583859875","4711105.015838599"
"IVF_PQ","2","201","1","27.08","15364.313711124949","6807364.313711125"
"IVF_PQ","2","201","20","54.71","15010.213649214473","4044010.2136492142"
"IVF_PQ","2","201","100","54.93","15660.906579045628","4022660.9065790456"
"IVF_PQ","4","201","1","27.2","15075.494213212565","6795075.494213212"
"IVF_PQ","4","201","20","61.26","15672.02481037253","3389672.0248103724"
"IVF_PQ","4","201","100","61.53","14799.421333051057","3361799.4213330513"
"IVF_PQ","8","201","1","27.28","13819.782537067545","6785819.782537067"
"IVF_PQ","8","201","20","69.82","17494.49009384776","2535494.490093848"
"IVF_PQ","8","201","100","70.53","14495.607395887333","2461495.6073958874"
"IVF_PQ","1","301","1","24.64","13581.711029078428","7049581.711029079"
"IVF_PQ","1","301","30","49.5","18323.739624290083","4568323.73962429"
"IVF_PQ","1","301","100","49.5","15578.887939679827","4565578.887939679"
"IVF_PQ","2","301","1","24.76","14702.411665731912","7038702.411665731"
"IVF_PQ","2","301","30","55.41","15142.438355175276","3974142.438355176"
"IVF_PQ","2","301","100","55.37","14755.167804122986","3977755.1678041234"
"IVF_PQ","4","301","1","24.81","13901.312475142517","7032901.312475142"
"IVF_PQ","4","301","30","61.5","16990.61816414162","3366990.6181641417"
"IVF_PQ","4","301","100","61.47","15002.696998962692","3368002.6969989627"
"IVF_PQ","8","301","1","24.83","11792.021142005678","7028792.021142006"
"IVF_PQ","8","301","30","70.43","15186.849156347309","2472186.8491563466"
"IVF_PQ","8","301","100","70.69","11726.086834968828","2442726.086834969"
"IVF_PQ","1","401","1","24.64","13564.580705669287","7049564.58070567"
"IVF_PQ","1","401","40","49.5","17525.92344977436","4567525.923449774"
"IVF_PQ","1","401","100","49.5","15846.099210397068","4565846.099210397"
"IVF_PQ","2","401","1","24.76","14302.82693947144","7038302.82693947"
"IVF_PQ","2","401","40","55.4","15897.149787750152","3975897.14978775"
"IVF_PQ","2","401","100","55.37","14864.984406010773","3977864.984406011"
"IVF_PQ","4","401","1","24.81","13926.236801912477","7032926.236801912"
"IVF_PQ","4","401","40","61.45","17203.166400065624","3372203.166400065"
"IVF_PQ","4","401","100","61.47","14102.293053594243","3367102.2930535944"
"IVF_PQ","8","401","1","24.83","12533.405050052294","7029533.405050052"
"IVF_PQ","8","401","40","70.54","15628.810969929575","2461628.810969929"
"IVF_PQ","8","401","100","70.69","12735.483087386894","2443735.483087387"
"IVF_PQ","1","501","1","24.64","15240.93023255814","7051240.930232558"
"IVF_PQ","1","501","50","49.5","15829.951690821255","4565829.951690821"
"IVF_PQ","1","501","100","49.5","15060.878308018242","4565060.878308019"
"IVF_PQ","2","501","1","24.76","14758.802209789226","7038758.802209788"
"IVF_PQ","2","501","50","55.4","16554.720555730975","3976554.720555731"
"IVF_PQ","2","501","100","55.37","16016.12952497327","3979016.1295249737"
"IVF_PQ","4","501","1","24.81","13294.570350882754","7032294.570350883"
"IVF_PQ","4","501","50","61.46","15692.54714157438","3369692.5471415743"
"IVF_PQ","4","501","100","61.47","14717.372539387346","3367717.3725393876"
"IVF_PQ","8","501","1","24.83","11104.561700775728","7028104.561700775"
"IVF_PQ","8","501","50","70.64","13307.22421396618","2449307.224213966"
"IVF_PQ","8","501","100","70.69","13092.879662868738","2444092.8796628686"
"IVF_PQ","1","601","1","24.64","15655.06121230218","7051655.061212302"
"IVF_PQ","1","601","60","49.5","18302.949903997207","4568302.949903998"
"IVF_PQ","1","601","100","49.5","15575.416836867318","4565575.416836867"
"IVF_PQ","2","601","1","24.76","14316.496569614636","7038316.496569614"
"IVF_PQ","2","601","60","55.38","16580.242716527653","3978580.242716527"
"IVF_PQ","2","601","100","55.37","15859.880511230433","3978859.880511231"
"IVF_PQ","4","601","1","24.81","2904.059434047179","7021904.059434047"
"IVF_PQ","4","601","60","61.48","3703.121909874276","3355703.121909875"
"IVF_PQ","4","601","100","61.47","10214.812108813716","3363214.812108814"
"IVF_PQ","8","601","1","24.83","11065.30536868487","7028065.305368685"
"IVF_PQ","8","601","60","70.69","13640.900221152595","2444640.9002211527"
"IVF_PQ","8","601","100","70.69","12593.994715349507","2443593.9947153493"
"IVF_PQ","1","701","1","24.64","4675.350848836821","7040675.350848837"
"IVF_PQ","1","701","70","49.5","4476.646067475692","4554476.646067476"
"IVF_PQ","1","701","100","49.5","8783.33089020585","4558783.330890206"
"IVF_PQ","2","701","1","24.76","2073.022023644775","7026073.022023644"
"IVF_PQ","2","701","70","55.37","16033.272171253822","3979033.2721712543"
"IVF_PQ","2","701","100","55.37","14853.929241774977","3977853.9292417755"
"IVF_PQ","4","701","1","24.81","12902.374800049218","7031902.374800049"
"IVF_PQ","4","701","70","61.47","15847.895412982694","3368847.895412983"
"IVF_PQ","4","701","100","61.47","14848.670655290827","3367848.6706552906"
"IVF_PQ","8","701","1","24.83","11982.013998000286","7028982.013998"
"IVF_PQ","8","701","70","70.69","13943.829787234043","2444943.829787234"
"IVF_PQ","8","701","100","70.69","13037.935965184955","2444037.935965185"
"IVF_PQ","1","801","1","24.64","14009.031396125585","7050009.031396125"
"IVF_PQ","1","801","80","49.5","16868.98326898327","4566868.983268984"
"IVF_PQ","1","801","100","49.5","15792.996460576851","4565792.996460577"
"IVF_PQ","2","801","1","24.76","14453.64761018643","7038453.647610186"
"IVF_PQ","2","801","80","55.37","16206.112592249141","3979206.1125922496"
"IVF_PQ","2","801","100","55.37","15259.22799869029","3978259.2279986907"
"IVF_PQ","4","801","1","24.81","14273.136867896277","7033273.136867897"
"IVF_PQ","4","801","80","61.47","14888.201050688627","3367888.2010506885"
"IVF_PQ","4","801","100","61.47","14990.900318095715","3367990.900318096"
