index_type,nlist,nprobe,recall,query_per_sec,loss
IVF_SQ8,101,1,35.03,17153.91599525582,5979846.084004744
IVF_SQ8,201,1,27.33,17174.285480304643,6749825.714519695
IVF_SQ8,301,1,24.88,18222.635443367944,6993777.364556632
IVF_SQ8,401,1,24.88,17770.968561986272,6994229.031438014
IVF_SQ8,501,1,24.88,16386.56040006251,6995613.439599938
IVF_SQ8,601,1,24.88,17398.697473762808,6994601.302526237
IVF_SQ8,701,1,24.88,16607.81627400515,6995392.183725995
IVF_SQ8,801,1,24.88,16742.391825003993,6995257.608174996
IVF_SQ8,901,1,24.88,17782.269894433375,6994217.730105567
IVF_SQ8,1001,1,24.88,16938.470236652935,6995061.529763348
IVF_SQ8,1101,1,24.88,18345.37899663212,6993654.621003368
IVF_SQ8,1101,101,99.49,11246.2903874514,-11241.8003874514
IVF_SQ8,1201,1,24.88,13030.644960854976,6998969.355039145
IVF_SQ8,1201,101,99.49,9038.47430233811,-9033.98430233811
IVF_SQ8,1301,1,24.88,12815.252528338782,6999184.747471661
IVF_SQ8,1301,101,99.49,8627.237386099512,-8622.747386099512
IVF_SQ8,1401,1,24.88,17330.402446078835,6994669.597553921
IVF_SQ8,1401,101,99.49,12132.08376721046,-12127.59376721046
IVF_SQ8,1501,1,24.88,17369.15686599304,6994630.843134007
IVF_SQ8,1501,101,99.49,11887.605929201032,-11883.115929201032
IVF_SQ8,1601,1,24.88,16146.221657620204,6995853.77834238
IVF_SQ8,1601,101,99.49,10664.117362894409,-10659.627362894407
IVF_SQ8,1701,1,24.88,12306.14675938151,6999693.8532406185
IVF_SQ8,1701,101,99.49,9850.639986847977,-9846.149986847977
IVF_SQ8,1801,1,24.88,13204.58380556605,6998795.416194434
IVF_SQ8,1801,101,99.49,9890.36030937559,-9885.87030937559
IVF_SQ8,1901,1,24.88,16310.7291464126,6995689.270853587
IVF_SQ8,1901,101,99.49,12803.516590860529,-12799.026590860529
IVF_SQ8,2001,1,24.88,17434.858876834187,6994565.141123165
IVF_SQ8,2001,101,99.49,11278.64902656771,-11274.15902656771
IVF_SQ8,2101,1,24.88,18404.142167617378,6993595.857832382
IVF_SQ8,2101,101,99.49,11708.083966056274,-11703.593966056274
IVF_SQ8,2101,201,99.49,8846.876186458552,-8842.386186458552
IVF_SQ8,2201,1,24.88,18338.16019587268,6993661.839804127
IVF_SQ8,2201,101,99.49,7928.741020793951,-7924.251020793951
IVF_SQ8,2201,201,99.49,7155.5616214003,-7151.0716214003005
IVF_SQ8,2301,1,24.88,15372.76059228852,6996627.239407712
IVF_SQ8,2301,101,99.49,10388.62634368653,-10384.13634368653
IVF_SQ8,2301,201,99.49,8674.340785473498,-8669.850785473498
IVF_SQ8,2401,1,24.88,12429.04047887157,6999570.959521129
IVF_SQ8,2401,101,99.49,9622.390970198903,-9617.900970198903
IVF_SQ8,2401,201,99.49,8849.115996455546,-8844.625996455547
IVF_SQ8,2501,1,24.88,9550.5248537013,7002449.475146298
IVF_SQ8,2501,101,99.49,8624.22173787885,-8619.73173787885
IVF_SQ8,2501,201,99.49,6353.08088458043,-6348.590884580431
IVF_SQ8,2601,1,24.88,16379.52122466513,6995620.478775335
IVF_SQ8,2601,101,99.49,10517.048218449889,-10512.558218449887
IVF_SQ8,2601,201,99.49,5699.014905498865,-5694.524905498865
IVF_SQ8,2701,1,24.88,17976.61580661752,6994023.384193382
IVF_SQ8,2701,101,99.49,9501.844048751756,-9497.354048751757
IVF_SQ8,2701,201,99.49,8805.828137137578,-8801.338137137578
IVF_SQ8,2801,1,24.88,15071.160618038088,6996928.839381962
IVF_SQ8,2801,101,99.49,11912.252201079238,-11907.762201079238
IVF_SQ8,2801,201,99.49,8410.475235612592,-8405.985235612592
IVF_SQ8,2901,1,24.88,12498.298519026192,6999501.7014809735
IVF_SQ8,2901,101,99.49,11627.589265912618,-11623.09926591262
IVF_SQ8,2901,201,99.49,8325.004962089635,-8320.514962089635
IVF_SQ8,3001,1,24.88,15448.633517495397,6996551.366482505
IVF_SQ8,3001,101,99.49,11748.750700280112,-11744.260700280112
IVF_SQ8,3001,201,99.49,8038.298932520746,-8033.808932520747
IVF_SQ8,3101,1,24.88,14214.124983055442,6997785.8750169445
IVF_SQ8,3101,101,99.49,10269.836683724689,-10265.346683724689
IVF_SQ8,3101,201,99.49,8068.91748908255,-8064.42748908255
IVF_SQ8,3101,301,99.49,8255.041429667972,-8250.551429667972
IVF_SQ8,3201,1,24.88,14230.039016115352,6997769.9609838845
IVF_SQ8,3201,101,99.49,12150.007241968657,-12145.517241968657
IVF_SQ8,3201,201,99.49,9121.423134636714,-9116.933134636714
IVF_SQ8,3201,301,99.49,7090.602336314304,-7086.112336314304
IVF_SQ8,3301,1,24.88,14621.432057449629,6997378.56794255
IVF_SQ8,3301,101,99.49,10995.1083964663,-10990.6183964663
IVF_SQ8,3301,201,99.49,9394.790010079516,-9390.300010079516
IVF_SQ8,3301,301,99.49,7630.724447840483,-7626.234447840483
IVF_SQ8,3401,1,24.88,14769.196098454173,6997230.803901546
IVF_SQ8,3401,101,99.49,12870.700871486437,-12866.210871486435
IVF_SQ8,3401,201,99.49,8729.585614086207,-8725.095614086207
IVF_SQ8,3401,301,99.49,7597.68861516167,-7593.19861516167
IVF_SQ8,3501,1,24.88,13772.135938269575,6998227.86406173
IVF_SQ8,3501,101,99.49,10858.196127161644,-10853.706127161644
IVF_SQ8,3501,201,99.49,8948.039424841063,-8943.549424841063
IVF_SQ8,3501,301,99.49,7131.593355210583,-7127.103355210583
IVF_SQ8,3601,1,24.88,16130.077298773218,6995869.922701227
IVF_SQ8,3601,101,99.49,9797.028870410166,-9792.538870410166
IVF_SQ8,3601,201,99.49,7189.660255750969,-7185.170255750969
IVF_SQ8,3601,301,99.49,7482.746686172016,-7478.256686172016
IVF_SQ8,3701,1,24.88,13567.213326863985,6998432.786673136
IVF_SQ8,3701,101,99.49,11414.625119063818,-11410.135119063818
IVF_SQ8,3701,201,99.49,4414.266920656303,-4409.776920656303
IVF_SQ8,3701,301,99.49,5359.31103217398,-5354.82103217398
IVF_SQ8,3801,1,24.88,16362.907189950454,6995637.09281005
IVF_SQ8,3801,101,99.49,9812.844208408394,-9808.354208408397
IVF_SQ8,3801,201,99.49,8276.70692240903,-8272.21692240903
IVF_SQ8,3801,301,99.49,6599.383221096356,-6594.893221096356
IVF_SQ8,3901,1,24.88,14133.18057755164,6997866.819422448
IVF_SQ8,3901,101,99.49,11898.73475177305,-11894.24475177305
IVF_SQ8,3901,201,99.49,7204.1084831933495,-7199.61848319335
IVF_SQ8,3901,301,99.49,7257.962588035785,-7253.4725880357855
IVF_SQ8,4001,1,24.88,13262.621343873518,6998737.378656127
IVF_SQ8,4001,101,99.49,9157.669046527368,-9153.179046527368
IVF_SQ8,4001,201,99.49,8286.354386866073,-8281.864386866073
IVF_SQ8,4001,301,99.49,7541.135223574678,-7536.645223574678
IVF_SQ8,4101,1,24.88,14829.770533536046,6997170.229466464
IVF_SQ8,4101,101,99.49,9283.335915539716,-9278.845915539716
IVF_SQ8,4101,201,99.49,7480.878234968876,-7476.3882349688765
IVF_SQ8,4101,301,99.49,7229.688873567181,-7225.198873567181
IVF_SQ8,4101,401,99.49,5068.767825204234,-5064.277825204234
IVF_SQ8,4201,1,24.88,15371.070473119067,6996628.929526881
IVF_SQ8,4201,101,99.49,10854.824016563149,-10850.334016563149
IVF_SQ8,4201,201,99.49,8607.761610606029,-8603.271610606029
IVF_SQ8,4201,301,99.49,8247.574476452659,-8243.08447645266
IVF_SQ8,4201,401,99.49,6125.038698560122,-6120.548698560122
IVF_SQ8,4301,1,24.88,14006.692269160128,6997993.30773084
IVF_SQ8,4301,101,99.49,10223.77574649604,-10219.28574649604
IVF_SQ8,4301,201,99.49,8291.76024039222,-8287.27024039222
IVF_SQ8,4301,301,99.49,7497.325897325897,-7492.835897325897
IVF_SQ8,4301,401,99.49,6741.194811874187,-6736.704811874187
IVF_SQ8,4401,1,24.88,10350.17273714342,7001649.827262857
IVF_SQ8,4401,101,99.49,9777.61615031354,-9773.12615031354
IVF_SQ8,4401,201,99.49,7428.543090928412,-7424.0530909284125
IVF_SQ8,4401,301,99.49,7507.256130302488,-7502.766130302488
IVF_SQ8,4401,401,99.49,6888.44290430127,-6883.95290430127
IVF_SQ8,4501,1,24.88,14725.122876000562,6997274.877123999
IVF_SQ8,4501,101,99.49,10233.00478188738,-10228.51478188738
IVF_SQ8,4501,201,99.49,7089.643515153564,-7085.1535151535645
IVF_SQ8,4501,301,99.49,7482.212747738909,-7477.722747738909
IVF_SQ8,4501,401,99.49,8320.215825911011,-8315.725825911011
IVF_SQ8,4601,1,24.88,14195.84376903811,6997804.156230962
IVF_SQ8,4601,101,99.49,8967.361511983408,-8962.871511983409
IVF_SQ8,4601,201,99.49,7750.007390983001,-7745.517390983001
IVF_SQ8,4601,301,99.49,7302.061281337047,-7297.571281337047
IVF_SQ8,4601,401,99.49,6260.996253228045,-6256.506253228045
IVF_SQ8,4701,1,24.88,11647.285551637,7000352.714448363
IVF_SQ8,4701,101,99.49,6849.185146477677,-6844.695146477678
IVF_SQ8,4701,201,99.49,6416.841074597638,-6412.351074597638
IVF_SQ8,4701,301,99.49,7554.173945932316,-7549.683945932316
IVF_SQ8,4701,401,99.49,6463.215964249942,-6458.725964249942
IVF_SQ8,4801,1,24.88,13079.814139146163,6998920.185860854
IVF_SQ8,4801,101,99.49,7643.517877318949,-7639.027877318949
IVF_SQ8,4801,201,99.49,5640.006992348757,-5635.516992348757
IVF_SQ8,4801,301,99.49,5291.49561597174,-5287.005615971741
IVF_SQ8,4801,401,99.49,7410.823895259466,-7406.333895259466
IVF_SQ8,4901,1,24.88,14840.789753025265,6997159.210246975
IVF_SQ8,4901,101,99.49,9019.814627642416,-9015.324627642416
IVF_SQ8,4901,201,99.49,6404.2997618029685,-6399.809761802969
IVF_SQ8,4901,301,99.49,5317.5921699883365,-5313.102169988337
IVF_SQ8,4901,401,99.49,5144.302307041321,-5139.812307041321
IVF_SQ8,5001,1,24.88,13789.794844818516,6998210.205155182
IVF_SQ8,5001,101,99.49,8921.014122851795,-8916.524122851795
IVF_SQ8,5001,201,99.49,7467.426292550918,-7462.936292550919
IVF_SQ8,5001,301,99.49,5455.08271771928,-5450.59271771928
IVF_SQ8,5001,401,99.49,4746.405938801376,-4741.915938801376
IVF_SQ8,5101,1,24.88,13130.177811169548,6998869.82218883
IVF_SQ8,5101,101,99.49,8160.124513618677,-8155.634513618677
IVF_SQ8,5101,201,99.49,7168.402522602588,-7163.912522602588
IVF_SQ8,5101,301,99.49,7084.733623864058,-7080.2436238640585
IVF_SQ8,5101,401,99.49,5867.472441385485,-5862.982441385485
IVF_SQ8,5101,501,99.49,4011.845276810652,-4007.355276810653
IVF_SQ8,5201,1,24.88,11542.473443777862,7000457.526556222
IVF_SQ8,5201,101,99.49,9347.888297042502,-9343.398297042502
IVF_SQ8,5201,201,99.49,8280.955577492596,-8276.465577492596
IVF_SQ8,5201,301,99.49,7504.032633198554,-7499.542633198554
IVF_SQ8,5201,401,99.49,5844.823790080964,-5840.333790080964
IVF_SQ8,5201,501,99.49,6756.397493516326,-6751.907493516326
IVF_SQ8,5301,1,24.88,12346.35582244201,6999653.644177558
IVF_SQ8,5301,101,99.49,12726.595260490943,-12722.105260490944
IVF_SQ8,5301,201,99.49,9741.50873281308,-9737.01873281308
IVF_SQ8,5301,301,99.49,6357.12510230683,-6352.63510230683
IVF_SQ8,5301,401,99.49,4795.189152728395,-4790.699152728395
IVF_SQ8,5301,501,99.49,6942.832549824539,-6938.342549824539
IVF_SQ8,5401,1,24.88,17214.463369587524,6994785.536630413
IVF_SQ8,5401,101,99.49,13080.62997037268,-13076.13997037268
IVF_SQ8,5401,201,99.49,7733.859458263419,-7729.369458263419
IVF_SQ8,5401,301,99.49,5829.146399088307,-5824.656399088307
IVF_SQ8,5401,401,99.49,6108.802796387999,-6104.312796387999
IVF_SQ8,5401,501,99.49,6850.080026130981,-6845.590026130982
IVF_SQ8,5501,1,24.88,17562.616196298466,6994437.383803702
IVF_SQ8,5501,101,99.49,9013.418145871836,-9008.928145871836
IVF_SQ8,5501,201,99.49,6107.379579474635,-6102.889579474635
IVF_SQ8,5501,301,99.49,6597.203391163471,-6592.713391163471
IVF_SQ8,5501,401,99.49,7273.317495274594,-7268.827495274594
IVF_SQ8,5501,501,99.49,7310.333769063181,-7305.843769063181
IVF_SQ8,5601,1,24.88,12768.826108134435,6999231.173891866
IVF_SQ8,5601,101,99.49,9957.041116703069,-9952.551116703067
IVF_SQ8,5601,201,99.49,6743.037201376162,-6738.547201376162
IVF_SQ8,5601,301,99.49,5632.735721096384,-5628.245721096384
IVF_SQ8,5601,401,99.49,7395.535493881582,-7391.045493881582
IVF_SQ8,5601,501,99.49,6425.294892613131,-6420.804892613131
IVF_SQ8,5701,1,24.88,14089.975812953508,6997910.024187046
IVF_SQ8,5701,101,99.49,8415.368873016192,-8410.878873016192
IVF_SQ8,5701,201,99.49,8462.570869398543,-8458.080869398544
IVF_SQ8,5701,301,99.49,6041.663425665845,-6037.173425665846
IVF_SQ8,5701,401,99.49,5239.408891609309,-5234.918891609309
IVF_SQ8,5701,501,99.49,6864.654664484452,-6860.164664484452
IVF_SQ8,5801,1,24.88,9843.704381703395,7002156.295618297
IVF_SQ8,5801,101,99.49,8770.84126220698,-8766.351262206981
IVF_SQ8,5801,201,99.49,9571.884342408544,-9567.394342408545
IVF_SQ8,5801,301,99.49,6130.499729599369,-6126.009729599369
IVF_SQ8,5801,401,99.49,5522.018010427089,-5517.52801042709
IVF_SQ8,5801,501,99.49,6604.475097233376,-6599.985097233376
IVF_SQ8,5901,1,24.88,17557.469965255976,6994442.530034744
IVF_SQ8,5901,101,99.49,10231.00790321007,-10226.51790321007
IVF_SQ8,5901,201,99.49,5412.494031718994,-5408.004031718994
IVF_SQ8,5901,301,99.49,4855.249053677058,-4850.759053677059
IVF_SQ8,5901,401,99.49,5339.457436380533,-5334.967436380533
IVF_SQ8,5901,501,99.49,6892.291512611946,-6887.801512611946
IVF_SQ8,6001,1,24.88,16325.96629169748,6995674.033708302
IVF_SQ8,6001,101,99.49,9064.257774512134,-9059.767774512136
IVF_SQ8,6001,201,99.49,7288.10425716768,-7283.61425716768
IVF_SQ8,6001,301,99.49,4432.553764861294,-4428.063764861295
IVF_SQ8,6001,401,99.49,4852.552785330016,-4848.062785330017
IVF_SQ8,6001,501,99.49,7413.181569133424,-7408.691569133424
IVF_SQ8,6101,1,24.88,9769.872586243042,7002230.127413757
IVF_SQ8,6101,101,99.49,9085.659821505937,-9081.169821505937
IVF_SQ8,6101,201,99.49,6606.243502913845,-6601.753502913845
IVF_SQ8,6101,301,99.49,8532.465366071974,-8527.975366071974
IVF_SQ8,6101,401,99.49,5626.086839881424,-5621.596839881424
IVF_SQ8,6101,501,99.49,4551.160494363003,-4546.670494363003
IVF_SQ8,6101,601,99.49,4637.869874828608,-4633.379874828608
IVF_SQ8,6201,1,24.88,12000.52645131756,6999999.473548682
IVF_SQ8,6201,101,99.49,11813.942483733768,-11809.452483733769
IVF_SQ8,6201,201,99.49,8422.973732829947,-8418.483732829947
IVF_SQ8,6201,301,99.49,5711.664896369529,-5707.174896369529
IVF_SQ8,6201,401,99.49,4982.305426209256,-4977.815426209257
IVF_SQ8,6201,501,99.49,6604.475097233376,-6599.985097233376
IVF_SQ8,6201,601,99.49,7819.067148875881,-7814.577148875881
IVF_SQ8,6301,1,24.88,16447.605976236227,6995552.394023764
IVF_SQ8,6301,101,99.49,7649.791168906965,-7645.301168906965
IVF_SQ8,6301,201,99.49,7430.912054425626,-7426.422054425626
IVF_SQ8,6301,301,99.49,5910.217425000353,-5905.727425000353
IVF_SQ8,6301,401,99.49,5747.98410305605,-5743.49410305605
IVF_SQ8,6301,501,99.49,8259.593154920147,-8255.103154920147
IVF_SQ8,6301,601,99.49,5873.388226068448,-5868.898226068448
IVF_SQ8,6401,1,24.88,11869.439963777344,7000130.560036222
IVF_SQ8,6401,101,99.49,8016.329651007224,-8011.839651007224
IVF_SQ8,6401,201,99.49,8782.411323757276,-8777.921323757277
IVF_SQ8,6401,301,99.49,8393.4762162054,-8388.9862162054
IVF_SQ8,6401,401,99.49,4355.365412971693,-4350.875412971694
IVF_SQ8,6401,501,99.49,6204.591715976331,-6200.101715976331
