index_type,m,nlist,nprobe,recall,query_pre_sec,loss
"IVF_PQ",1,1,1,38.39,15217.15343032326,5676217.153430323
"IVF_PQ",1,1,1,38.39,16235.596500735464,5677235.596500736
"IVF_PQ",1,1,100,38.39,15961.275591749752,5676961.27559175
"IVF_PQ",2,1,1,48.79,15015.049760148922,4636015.049760149
"IVF_PQ",2,1,1,48.79,16389.121600500155,4637389.1216005
"IVF_PQ",2,1,100,48.79,15817.415243051628,4636817.415243052
"IVF_PQ",4,1,1,58.09,11309.669417030686,3702309.66941703
"IVF_PQ",4,1,1,58.09,14197.765892627445,3705197.765892627
"IVF_PQ",4,1,100,58.09,15906.192878000682,3706906.1928780004
"IVF_PQ",8,1,1,70.5,15035.503297963865,2465035.5032979636
"IVF_PQ",8,1,1,70.5,14951.88934835306,2464951.8893483533
"IVF_PQ",8,1,100,70.5,10026.304592068464,2460026.3045920683
"IVF_PQ",16,1,1,80.92,11434.85278080698,1419434.8527808068
"IVF_PQ",16,1,1,80.92,10606.139685429625,1418606.1396854294
"IVF_PQ",16,1,100,80.92,10392.487425357418,1418392.487425357
"IVF_PQ",32,1,1,87.69,10968.081378625036,741968.0813786252
"IVF_PQ",32,1,1,87.69,9561.846574717885,740561.8465747181
"IVF_PQ",32,1,100,87.69,11096.335881901638,742096.3358819019
"IVF_PQ",64,1,1,95.08,7629.336437718277,7629.416437718277
"IVF_PQ",64,1,1,95.08,6259.2210117892855,6259.301011789285
"IVF_PQ",64,1,100,95.08,6589.533550140611,6589.613550140611
"IVF_PQ",128,1,1,99.72,4290.145858478408,4294.865858478408
"IVF_PQ",128,1,1,99.72,4330.900605084361,4335.620605084361
"IVF_PQ",128,1,100,99.72,3660.97339571259,3665.69339571259
"IVF_PQ",1,101,1,31.85,16264.557158368234,6331264.557158369
"IVF_PQ",1,101,10,46.65,17690.02108814846,4852690.0210881485
"IVF_PQ",1,101,100,46.8,15545.974796145292,4835545.974796145
"IVF_PQ",2,101,1,33.24,14586.854002921333,6190586.854002921
"IVF_PQ",2,101,10,52.8,17474.08240636587,4237474.082406366
"IVF_PQ",2,101,100,52.94,14257.610986470869,4220257.610986471
"IVF_PQ",4,101,1,33.81,15184.649916733038,6134184.649916733
"IVF_PQ",4,101,10,58.89,12001.213196371857,3623001.2131963717
"IVF_PQ",4,101,100,59.34,14686.966874430982,3580686.9668744304
"IVF_PQ",8,101,1,34.27,14028.710950565255,6087028.7109505655
"IVF_PQ",8,101,10,68.22,16256.992248062015,2694256.992248062
"IVF_PQ",8,101,100,69.56,11131.380042462844,2555131.380042463
"IVF_PQ",16,101,1,34.8,11643.405601976516,6031643.405601976
"IVF_PQ",16,101,10,77.62,14484.594398591014,1752484.5943985905
"IVF_PQ",16,101,100,80.08,12010.491953496363,1504010.4919534966
"IVF_PQ",32,101,1,34.96,11465.799185369455,6015465.799185369
"IVF_PQ",32,101,10,84.21,15022.040757852512,1094022.0407578533
"IVF_PQ",32,101,100,88.04,8570.648575748906,704570.6485757483
"IVF_PQ",64,101,1,35.0,6293.312527195522,6006293.312527196
"IVF_PQ",64,101,10,88.86,10107.730865625603,624107.7308656255
"IVF_PQ",64,101,100,94.79,4221.277966204044,25221.27796620342
"IVF_PQ",128,101,1,35.03,959.4349031484752,5997959.434903149
"IVF_PQ",128,101,10,90.75,6676.489128012479,431676.4891280125
"IVF_PQ",128,101,100,98.48,2696.469257078201,2699.949257078201
"IVF_PQ",1,201,1,26.72,14895.60338092194,6842895.603380922
"IVF_PQ",1,201,20,47.96,17266.194631977607,4721266.194631978
"IVF_PQ",1,201,100,47.96,14612.263099219621,4718612.26309922
"IVF_PQ",2,201,1,27.08,13353.403374721427,6805353.403374721
"IVF_PQ",2,201,20,54.71,17721.41287814771,4046721.412878148
"IVF_PQ",2,201,100,54.93,15641.050119331741,4022641.0501193316
"IVF_PQ",4,201,1,27.2,2933.8593472391267,6782933.859347239
"IVF_PQ",4,201,20,61.26,3351.957164548869,3377351.957164549
"IVF_PQ",4,201,100,61.53,9198.438528005614,3356198.4385280055
"IVF_PQ",8,201,1,27.28,12241.496658202726,6784241.496658202
"IVF_PQ",8,201,20,69.82,12184.597507480463,2530184.597507481
"IVF_PQ",8,201,100,70.53,11347.611060007575,2458347.6110600075
"IVF_PQ",16,201,1,27.28,10138.51583272903,6782138.515832729
"IVF_PQ",16,201,20,79.21,14506.637152837824,1593506.6371528385
"IVF_PQ",16,201,100,80.63,10955.476035000653,1447955.4760350012
"IVF_PQ",32,201,1,27.3,9223.521132955095,6779223.521132955
"IVF_PQ",32,201,20,85.78,13820.237899107055,935820.2378991069
"IVF_PQ",32,201,100,88.12,9077.204752526673,697077.2047525262
"IVF_PQ",64,201,1,27.33,5305.753175125234,6772305.753175125
"IVF_PQ",64,201,20,90.8,9953.024370565483,429953.0243705658
"IVF_PQ",64,201,100,94.26,6050.116839281078,80050.11683928057
"IVF_PQ",128,201,1,27.33,3287.922425078586,6770287.922425078
"IVF_PQ",128,201,20,93.28,6853.437908496732,178853.43790849662
"IVF_PQ",128,201,100,98.14,2504.5854357626968,2507.7254357626966
"IVF_PQ",1,301,1,24.64,4357.220473504327,7040357.220473505
"IVF_PQ",1,301,30,49.5,4631.366010401599,4554631.366010401
"IVF_PQ",1,301,100,49.5,6896.484593376961,4556896.4845933765
"IVF_PQ",2,301,1,24.76,13706.875816993464,7037706.8758169925
"IVF_PQ",2,301,30,55.41,16727.70200207386,3975727.702002074
"IVF_PQ",2,301,100,55.37,15187.949015063732,3978187.949015064
"IVF_PQ",4,301,1,24.81,13212.90322580645,7032212.903225807
"IVF_PQ",4,301,30,61.5,16496.122079760873,3366496.122079761
"IVF_PQ",4,301,100,61.47,12365.647572157199,3365365.647572157
"IVF_PQ",8,301,1,24.83,11263.505021751973,7028263.505021752
"IVF_PQ",8,301,30,70.43,15088.509964745665,2472088.509964745
"IVF_PQ",8,301,100,70.69,11008.671916010499,2442008.6719160103
"IVF_PQ",16,301,1,24.84,9763.504737074885,7025763.5047370745
"IVF_PQ",16,301,30,80.52,13743.705354217183,1461743.7053542177
"IVF_PQ",16,301,100,81.13,12593.994715349507,1399593.99471535
"IVF_PQ",32,301,1,24.86,8140.95999689447,7022140.959996895
"IVF_PQ",32,301,30,87.3,11852.66905925905,781852.6690592592
"IVF_PQ",32,301,100,88.42,9821.575927877298,667821.5759278772
"IVF_PQ",64,301,1,24.88,865.1456552993035,7012865.1456553
"IVF_PQ",64,301,30,93.03,5210.833374745316,202210.8333747452
"IVF_PQ",64,301,100,94.44,5169.66462475195,61169.66462475218
"IVF_PQ",128,301,1,24.88,821.9032912940218,7012821.903291294
"IVF_PQ",128,301,30,95.97,5521.000394892721,5521.970394892721
"IVF_PQ",128,301,100,98.1,2520.721424579159,2523.8214245791587
"IVF_PQ",1,401,1,24.64,14656.174435669858,7050656.17443567
"IVF_PQ",1,401,40,49.5,14908.840152134504,4564908.840152134
"IVF_PQ",1,401,100,49.5,15327.257445642244,4565327.257445642
"IVF_PQ",2,401,1,24.76,14613.790460262708,7038613.7904602615
"IVF_PQ",2,401,40,55.4,16685.777936905757,3976685.7779369056
"IVF_PQ",2,401,100,55.37,15378.39700813962,3978378.39700814
"IVF_PQ",4,401,1,24.81,12419.471751747009,7031419.471751747
"IVF_PQ",4,401,40,61.45,15896.547280651885,3370896.5472806515
"IVF_PQ",4,401,100,61.47,14602.597221738677,3367602.5972217387
"IVF_PQ",8,401,1,24.83,12015.653020884063,7029015.653020884
"IVF_PQ",8,401,40,70.54,15378.960877057896,2461378.9608770576
"IVF_PQ",8,401,100,70.69,13017.299276869122,2444017.2992768693
"IVF_PQ",16,401,1,24.84,9466.886355941768,7025466.886355942
"IVF_PQ",16,401,40,80.85,12830.93395331763,1427830.933953318
"IVF_PQ",16,401,100,81.13,11895.022829755253,1398895.0228297557
"IVF_PQ",32,401,1,24.86,8131.174999515344,7022131.1749995155
"IVF_PQ",32,401,40,87.95,10971.81123783614,715971.8112378359
"IVF_PQ",32,401,100,88.42,9201.667324821201,667201.6673248211
"IVF_PQ",64,401,1,24.88,4479.753919767591,7016479.753919767
"IVF_PQ",64,401,40,93.86,8378.721109091272,122378.72110909133
"IVF_PQ",64,401,100,94.44,5589.647773764943,61589.647773765166
"IVF_PQ",128,401,1,24.88,2689.05287318002,7014689.05287318
"IVF_PQ",128,401,40,97.24,4387.163716999289,4389.403716999289
"IVF_PQ",128,401,100,98.1,2450.087037794264,2453.1870377942637
"IVF_PQ",1,501,1,24.64,13453.630998203747,7049453.6309982035
"IVF_PQ",1,501,50,49.5,15126.055753903855,4565126.055753903
"IVF_PQ",1,501,100,49.5,14842.89050888244,4564842.890508883
"IVF_PQ",2,501,1,24.76,14009.031396125585,7038009.0313961245
"IVF_PQ",2,501,50,55.4,14730.29430357519,3974730.294303575
"IVF_PQ",2,501,100,55.37,12706.546699385017,3975706.5466993856
"IVF_PQ",4,501,1,24.81,13199.597180261833,7032199.597180262
"IVF_PQ",4,501,50,61.46,1957.1565891762245,3355957.156589176
"IVF_PQ",4,501,100,61.47,15011.288071293082,3368011.288071293
"IVF_PQ",8,501,1,24.83,12586.058514628658,7029586.058514629
"IVF_PQ",8,501,50,70.64,14934.852585101837,2450934.852585102
"IVF_PQ",8,501,100,70.69,11367.29362025042,2442367.29362025
"IVF_PQ",16,501,1,24.84,9524.067303980562,7025524.067303981
"IVF_PQ",16,501,50,81.01,12157.755297254993,1411157.7552972545
"IVF_PQ",16,501,100,81.13,12816.818945760122,1399816.8189457606
"IVF_PQ",32,501,1,24.86,1563.04999981367,7015563.049999814
"IVF_PQ",32,501,50,88.24,6584.464678178964,682584.4646781795
"IVF_PQ",32,501,100,88.42,9990.243902439024,667990.2439024389
"IVF_PQ",64,501,1,24.88,976.5664326709275,7012976.566432671
"IVF_PQ",64,501,50,94.25,4089.84925015114,79089.84925015114
"IVF_PQ",64,501,100,94.44,5306.424432580147,61306.424432580374
"IVF_PQ",128,501,1,24.88,2796.8179666193228,7014796.8179666195
"IVF_PQ",128,501,50,97.77,4180.008371369915,4182.7783713699155
"IVF_PQ",128,501,100,98.1,2425.897499667432,2428.997499667432
"IVF_PQ",1,601,1,24.64,13718.980800052334,7049718.980800052
"IVF_PQ",1,601,60,49.5,14736.504813435458,4564736.5048134355
"IVF_PQ",1,601,100,49.5,15246.470374409306,4565246.470374409
"IVF_PQ",2,601,1,24.76,13680.944614782438,7037680.944614781
"IVF_PQ",2,601,60,55.38,14771.276633210073,3976771.2766332095
"IVF_PQ",2,601,100,55.37,13102.695948267783,3976102.6959482683
"IVF_PQ",4,601,1,24.81,12475.99274219935,7031475.992742199
"IVF_PQ",4,601,60,61.48,14866.5650586609,3366866.565058661
"IVF_PQ",4,601,100,61.47,14504.128916245936,3367504.128916246
"IVF_PQ",8,601,1,24.83,11613.744981309705,7028613.744981309
"IVF_PQ",8,601,60,70.69,14696.744805354077,2445696.744805354
"IVF_PQ",8,601,100,70.69,12075.499510566016,2443075.4995105662
"IVF_PQ",16,601,1,24.84,8856.964270630966,7024856.964270631
"IVF_PQ",16,601,60,81.09,11794.673940552853,1402794.6739405526
