index_type,m,nlist,nprobe,recall,query_per_sec,loss
IVF_PQ,1,1,1,38.39,15217.15343032326,5645782.846569677
IVF_PQ,1,1,1,38.39,16235.596500735464,5644764.403499264
IVF_PQ,1,1,100,38.39,15961.275591749752,5645038.72440825
IVF_PQ,2,1,1,48.79,15015.049760148922,4605984.950239851
IVF_PQ,2,1,1,48.79,16389.121600500155,4604610.8783995
IVF_PQ,2,1,100,48.79,15817.415243051628,4605182.584756948
IVF_PQ,4,1,1,58.09,11309.669417030686,3679690.330582969
IVF_PQ,4,1,1,58.09,14197.765892627445,3676802.234107372
IVF_PQ,4,1,100,58.09,15906.192878000682,3675093.8071219986
IVF_PQ,8,1,1,70.5,15035.503297963865,2434964.4967020364
IVF_PQ,8,1,1,70.5,14951.88934835306,2435048.1106516467
IVF_PQ,8,1,100,70.5,10026.304592068464,2439973.6954079317
IVF_PQ,16,1,1,80.92,11434.85278080698,1396565.1472191927
IVF_PQ,16,1,1,80.92,10606.139685429625,1397393.8603145701
IVF_PQ,16,1,100,80.92,10392.487425357418,1397607.5125746424
IVF_PQ,32,1,1,87.69,10968.081378625036,720031.9186213752
IVF_PQ,32,1,1,87.69,9561.846574717885,721438.1534252823
IVF_PQ,32,1,100,87.69,11096.335881901638,719903.6641180986
IVF_PQ,64,1,1,95.08,7629.336437718277,-7629.256437718277
IVF_PQ,64,1,1,95.08,6259.2210117892855,-6259.141011789286
IVF_PQ,64,1,100,95.08,6589.533550140611,-6589.453550140611
IVF_PQ,128,1,1,99.72,4290.145858478408,-4285.4258584784075
IVF_PQ,128,1,1,99.72,4330.900605084361,-4326.180605084361
IVF_PQ,128,1,100,99.72,3660.97339571259,-3656.25339571259
IVF_PQ,1,101,1,31.85,16264.557158368234,6298735.442841631
IVF_PQ,1,101,10,46.65,17690.02108814846,4817309.9789118515
IVF_PQ,1,101,100,46.8,15545.974796145292,4804454.025203855
IVF_PQ,2,101,1,33.24,14586.854002921333,6161413.145997079
IVF_PQ,2,101,10,52.8,17474.08240636587,4202525.917593634
IVF_PQ,2,101,100,52.94,14257.610986470869,4191742.3890135293
IVF_PQ,4,101,1,33.81,15184.649916733038,6103815.350083267
IVF_PQ,4,101,10,58.89,12001.213196371857,3598998.7868036283
IVF_PQ,4,101,100,59.34,14686.966874430982,3551313.0331255686
IVF_PQ,8,101,1,34.27,14028.710950565255,6058971.2890494345
IVF_PQ,8,101,10,68.22,16256.992248062015,2661743.007751938
IVF_PQ,8,101,100,69.56,11131.380042462844,2532868.619957537
IVF_PQ,16,101,1,34.8,11643.405601976516,6008356.594398024
IVF_PQ,16,101,10,77.62,14484.594398591014,1723515.4056014086
IVF_PQ,16,101,100,80.08,12010.491953496363,1479989.5080465039
IVF_PQ,32,101,1,34.96,11465.799185369455,5992534.200814631
IVF_PQ,32,101,10,84.21,15022.040757852512,1063977.959242148
IVF_PQ,32,101,100,88.04,8570.648575748906,687429.3514242505
IVF_PQ,64,101,1,35.0,6293.312527195522,5993706.687472804
IVF_PQ,64,101,10,88.86,10107.730865625603,603892.2691343745
IVF_PQ,64,101,100,94.79,4221.277966204044,16778.72203379533
IVF_PQ,128,101,1,35.03,959.4349031484752,5996040.565096851
IVF_PQ,128,101,10,90.75,6676.489128012479,418323.5108719875
IVF_PQ,128,101,100,98.48,2696.469257078201,-2692.989257078201
IVF_PQ,1,201,1,26.72,14895.60338092194,6813104.396619078
IVF_PQ,1,201,20,47.96,17266.194631977607,4686733.805368022
IVF_PQ,1,201,100,47.96,14612.263099219621,4689387.73690078
IVF_PQ,2,201,1,27.08,13353.403374721427,6778646.596625279
IVF_PQ,2,201,20,54.71,17721.41287814771,4011278.587121852
IVF_PQ,2,201,100,54.93,15641.050119331741,3991358.9498806684
IVF_PQ,4,201,1,27.2,2933.8593472391267,6777066.140652761
IVF_PQ,4,201,20,61.26,3351.957164548869,3370648.042835451
IVF_PQ,4,201,100,61.53,9198.438528005614,3337801.5614719945
IVF_PQ,8,201,1,27.28,12241.496658202726,6759758.503341798
IVF_PQ,8,201,20,69.82,12184.597507480463,2505815.40249252
IVF_PQ,8,201,100,70.53,11347.611060007575,2435652.3889399925
IVF_PQ,16,201,1,27.28,10138.51583272903,6761861.484167271
IVF_PQ,16,201,20,79.21,14506.637152837824,1564493.3628471629
IVF_PQ,16,201,100,80.63,10955.476035000653,1426044.5239649997
IVF_PQ,32,201,1,27.3,9223.521132955095,6760776.478867045
IVF_PQ,32,201,20,85.78,13820.237899107055,908179.7621008928
IVF_PQ,32,201,100,88.12,9077.204752526673,678922.7952474728
IVF_PQ,64,201,1,27.33,5305.753175125234,6761694.246824875
IVF_PQ,64,201,20,90.8,9953.024370565483,410046.9756294348
IVF_PQ,64,201,100,94.26,6050.116839281078,67949.88316071841
IVF_PQ,128,201,1,27.33,3287.922425078586,6763712.077574922
IVF_PQ,128,201,20,93.28,6853.437908496732,165146.56209150315
IVF_PQ,128,201,100,98.14,2504.5854357626968,-2501.445435762697
IVF_PQ,1,301,1,24.64,4357.220473504327,7031642.779526495
IVF_PQ,1,301,30,49.5,4631.366010401599,4545368.633989599
IVF_PQ,1,301,100,49.5,6896.484593376961,4543103.5154066235
IVF_PQ,2,301,1,24.76,13706.875816993464,7010293.124183006
IVF_PQ,2,301,30,55.41,16727.70200207386,3942272.297997927
IVF_PQ,2,301,100,55.37,15187.949015063732,3947812.0509849368
IVF_PQ,4,301,1,24.81,13212.90322580645,7005787.096774193
IVF_PQ,4,301,30,61.5,16496.122079760873,3333503.877920239
